Television,Mobile only,Computer/Laptop (With Internet),Without Internet,Good,Livable,Dilapidated,Class
33.5,40.8,0.5,3.2,47.1,46.3,6.7,NO
59.7,55.6,2.2,5,61.7,35.7,2.6,YES
35.2,43.4,0.6,4.1,50.5,43,6.5,NO
35.2,43.4,0.6,4.1,50.5,43,6.5,NO
37.7,43.7,0.6,2.7,51.1,44.1,4.8,NO
35.6,41.9,0.3,2.5,49.1,45.7,5.2,NO
49.4,53.4,1.9,3.8,62.2,34.9,2.9,YES
39.5,38.4,0.8,2.9,49,45.2,5.8,YES
34,33.5,0.5,2.3,43.9,48.9,7.2,NO
53.9,51.3,1.7,4.4,62.6,35.2,2.2,YES
24.7,28.6,0.4,3.7,39.5,53.3,7.2,NO
24.7,28.6,0.4,3.7,39.5,53.3,7.2,NO
43.9,50.2,1.1,3.7,51.4,42.6,6,YES
34,46.4,0.4,2.5,46.9,45.8,7.3,NO
69,60,3.1,6.9,62.9,34.3,2.8,YES
40.8,50.9,0.7,3.6,52.8,41.4,5.9,NO
37.4,49.9,0.5,3.7,52.1,41.5,6.4,NO
59.1,56.2,1.5,2.9,56.4,40.8,2.8,YES
47.4,37,1.5,4.2,54.4,40.2,5.4,YES
35.7,28.2,0.5,2.5,48.7,44.6,6.6,NO
70.8,54.5,3.5,7.5,65.8,31.3,2.9,YES
16.1,15.9,0.3,2.2,43.1,51.7,5.2,NO
13.4,13.6,0.2,2.1,41.7,53.1,5.1,NO
46.4,41.4,1.5,3.2,57.9,35.9,6.3,YES
13.1,10,0.2,2.1,36.8,59.3,3.9,NO
11.4,8.3,0.2,2,36.1,59.9,3.9,NO
55.4,51.6,1.2,4.1,53.9,43.3,2.8,YES
37.4,34.1,0.7,2.7,49.5,43.5,7,NO
33.5,28.6,0.5,2.2,48.5,43.4,8.2,NO
46.1,46.2,1.1,3.8,51.8,43.9,4.2,YES
49.4,37.7,1.1,4,52,43.7,4.4,YES
43,32,0.7,3.4,51.1,43.8,5.1,NO
60.4,47.6,1.7,5,53.5,43.3,3.2,YES
40.1,32.4,0.6,3.1,50.8,42.5,6.8,NO
39,30.7,0.6,3.1,51,42.2,6.8,NO
52.4,52.1,1.5,3.6,47.8,45.4,6.8,YES
46.1,36.3,0.5,2.8,49.1,44.2,6.8,NO
41,30.9,0.4,2.6,45.7,46.7,7.6,NO
67.5,59.1,1.1,3.6,63.2,33.5,3.3,YES
47.6,34.4,0.7,2.2,48.3,44.2,7.5,NO
42.5,27.3,0.4,1.4,45.9,45.9,8.3,NO
60.8,52.4,1.4,4.2,54.5,40,5.5,YES
43,34.9,0.5,2.5,50.6,43.4,6,NO
43,34.9,0.5,2.5,50.6,43.4,6,NO
70.8,52.1,3.8,8.2,67.7,29.2,3.1,YES
40.7,32.1,0.5,3.7,50,42,7.9,NO
78,56.9,4.6,9.3,71.9,26.2,1.9,YES
34.5,28.8,0.5,1.7,48.4,44.5,7.1,NO
34.5,28.8,0.5,1.7,48.4,44.5,7.1,NO
