Television,Mobile only,Computer/Laptop (With Internet),Without Internet,Good,Livable,Dilapidated,Class
58.5,59.1,2.2,6.8,68.8,26.4,4.8,YES
53.5,58,1.2,5.2,66.9,27.8,5.3,YES
79.4,63.8,6.3,13.2,76.6,20.7,2.7,YES
60.2,52.8,3.3,5.9,71,25.9,3.1,YES
50.3,49.2,1.3,3.6,70.7,25.5,3.7,YES
81.7,60.8,7.7,11,71.5,26.8,1.7,NO
64.6,58.8,1.8,7.8,68.6,26.3,5.1,YES
61.6,58.1,1.1,6.9,66.7,28.1,5.1,YES
78.3,62.2,4.6,12.1,76.8,18.1,5.1,YES
62.5,61.1,1.6,7.2,70.9,25.1,4.1,YES
60.8,60.6,1.3,7.2,70.3,26,3.7,YES
73.1,64.6,3,7.2,74.4,19.1,6.5,YES
57.5,60,1.8,6.4,70.5,23.4,6.1,YES
52.4,60.3,1,5.2,69.8,23.3,6.9,YES
80,58.8,5,11.5,73.7,23.8,2.5,YES
34.8,56.7,0.7,4.1,70.1,23.4,6.5,NO
33,55.5,0.6,4.1,69.1,23.9,7,NO
50.6,67.6,1.3,4.1,78.5,18.7,2.8,YES
50,60.1,1.7,5.7,70.6,24.5,4.9,YES
50,60.1,1.7,5.7,70.6,24.5,4.9,YES
62.6,62.8,1.4,6.3,65.3,29.7,5,YES
60.8,62.2,1.1,5.7,65.2,29.7,5.1,YES
72.2,65.9,3.2,9.5,65.7,29.8,4.5,YES
74.2,63.9,4.6,10.9,72.4,24.2,3.4,YES
65.5,62.7,1.8,6.6,66.6,28.7,4.7,YES
85.7,65.6,8.3,16.7,80,18.2,1.8,NO
48,54.6,0.8,3.6,57.4,37,5.6,YES
47.6,54.7,0.7,3.5,57.7,36.6,5.7,NO
57.5,52.1,1.6,6.9,49.3,46.4,4.3,YES
41.2,48.1,0.7,3.5,61.4,33,5.6,NO
39.8,47,0.6,3.2,60.6,33.6,5.8,NO
71.9,72.7,2.2,11.1,76.5,21.3,2.2,YES
64.4,60.3,2.8,7,70.4,25.5,4.1,YES
60.4,59.8,1.6,5.3,68.4,27.1,4.5,YES
78,62,6.8,12.9,77.2,19.9,2.9,YES
41.6,34.9,2,5.9,69.3,26.9,3.8,YES
35.1,30.7,1.1,4.7,67.2,28.7,4.1,YES
77.6,58.8,6.6,12.9,81.5,16.6,1.9,YES
33.5,18.7,1,3.7,57.1,38.5,4.4,YES
33.5,18.7,1,3.7,57.1,38.5,4.4,YES
41.6,23.6,1.8,5.3,67.2,28.8,4,YES
35.1,18,1.2,3.9,64.1,31.6,4.3,YES
73.5,51.2,4.9,11.8,82.1,15.2,2.6,YES
41.7,30.6,1.2,6.1,71.5,23.9,4.5,YES
38.2,27.9,0.9,5.5,70.3,25,4.7,YES
79.2,59.2,4.7,11.9,84.6,12.7,2.7,YES
50.3,35.4,3.2,8.7,70,26.7,3.4,YES
41.2,29.3,2,7.3,66.7,29.3,4,YES
79.9,55.2,7,13.4,80.7,18,1.3,NO
30.1,35.8,1.1,2.3,64.5,30.1,5.5,YES
30,35.4,1.1,2.3,64.9,29.7,5.5,YES
42.6,72.8,0.8,0.8,27.2,67.9,4.9,NO
57.6,54.6,3.6,8.1,76,20.9,3.1,YES
46.5,50.5,1.3,4.8,73.4,23,3.6,YES
80.1,62.8,8.3,14.9,81.3,16.7,2,YES
31.6,37.6,0.9,4.3,68.9,27.7,3.4,YES
28.9,36.4,0.7,4,68.1,28.4,3.5,NO
72,56.6,3.8,9.1,81.7,16.6,1.7,NO
31.5,24.7,0.8,4,67.1,30,3,YES
26.1,18.8,0.5,3.4,64.1,32.7,3.2,NO
69.5,66.1,2.9,8.3,87.9,10.9,1.2,NO
30,25.7,1.3,5.1,67.2,28.9,3.8,YES
27.7,24,1.1,5,66.5,29.6,4,YES
70.8,56.8,4.9,6.6,81.2,17.2,1.6,NO
48,45.5,1.7,5.9,68.4,27.2,4.4,YES
43.9,43.7,1.2,5.3,67.7,27.6,4.6,YES
78,59.2,5.2,10.6,73.2,23.8,3,YES
42.5,38.1,1.6,4.4,69,26.1,4.9,YES
42.5,38.1,1.6,4.4,69,26.1,4.9,YES
28,46.6,1.2,7.3,68.8,27.2,4,YES
28,46.6,1.2,7.3,68.8,27.2,4,YES
47.2,51.2,2.6,7.4,70,25.8,4.1,YES
40.2,49.4,1.7,6,67.7,27.8,4.5,YES
81.2,59.7,6.9,14.3,81.2,16.4,2.4,YES
48.1,46.3,1.3,4.2,69.1,26.9,4,YES
42.9,43.9,0.9,3.6,69.5,26.3,4.2,YES
75.1,59.1,3.2,7.5,67.2,29.8,3.1,YES
55.5,49.2,1.3,5.3,70.6,25.7,3.8,YES
52.7,48.1,1.1,5.2,69.4,26.5,4.1,YES
73.3,55.7,2.7,5.8,77.9,20.8,1.3,NO
45.6,44,1.8,6.3,62.6,31.2,6.2,YES
42.3,42.1,1.3,5.9,62.2,31.4,6.4,YES
78.7,63.7,6.6,10.9,67.1,29.4,3.5,YES
56.5,45.4,2,6.7,68.3,27.7,4.1,YES
49.7,41.4,1,5.3,67.2,28.6,4.1,YES
78.9,58.4,5.3,11.2,71.7,24.5,3.9,YES
50.8,42.6,0.8,6.1,74.5,22.7,2.8,YES
50.8,42.6,0.8,6.1,74.5,22.7,2.8,YES
61.8,54.1,2.7,6,74.7,23.6,1.7,NO
53.3,50.4,1.2,4,73.7,24.3,2,YES
79.7,61.7,5.8,10.2,76.6,22.2,1.2,NO
39,53.9,0.8,4.2,76.7,21.5,1.8,NO
38,53.5,0.8,4.1,76.6,21.6,1.8,NO
74.4,68.7,2.3,5.9,80.5,18.8,0.7,NO
53.9,49.1,1.3,4.3,76.8,21.8,1.4,NO
53.2,49,1.3,4.4,76.7,21.8,1.5,NO
76.9,50.9,2,3.5,77.8,21.8,0.4,NO
68.3,57.6,2.1,5.1,73.6,24.6,1.8,NO
62.4,53.5,1.3,3.9,74.5,23.5,2,YES
74.1,61.7,2.9,6.3,72.8,25.7,1.5,NO
61.7,51.8,1.9,5.7,70.9,26.7,2.4,YES
58.9,50.7,1.2,4.8,71.7,25.7,2.6,YES
73.7,56.4,4.7,9.8,67.6,30.8,1.5,NO
77.3,59.6,5.6,9.8,78.7,20,1.3,NO
63.4,53.6,1.5,3.8,78.1,20.4,1.5,NO
84.8,62.9,7.9,13,79.1,19.8,1.1,NO
33.9,36,1.8,2.4,71.8,27.3,0.9,NO
33.9,36,1.8,2.4,71.8,27.3,0.9,NO
46.3,50.5,0.7,3.3,75.5,22.9,1.6,NO
46.3,50.5,0.7,3.3,75.5,22.9,1.6,NO
53.6,49.3,2.1,4.7,73.5,24.7,1.9,YES
50.2,47.7,1.7,4,71.7,26.2,2,YES
71.3,57.4,4.3,8.1,82.4,16.7,0.9,NO
48,48.5,1,5.1,70.8,27,2.2,YES
48,48.5,1,5.1,70.8,27,2.2,YES
49.1,50,1.4,3.5,73.4,24.7,1.9,YES
47.3,48.7,1.2,3.3,73.2,24.8,2.1,YES
61.6,59.6,3.1,4.9,74.9,24.2,0.9,NO
51.5,45.7,1.9,4.7,70.8,26.9,2.3,YES
48.4,44.3,1.4,4.1,69,28.6,2.5,YES
75.5,56.9,5.6,10,84.9,14.1,1,NO
48.1,51.6,0.9,3.7,69.7,27.9,2.4,YES
48.1,51.6,0.9,3.7,69.7,27.9,2.4,YES
53,54.6,2.3,6.1,68.7,26.9,4.4,YES
45.7,52.3,1.1,4.8,67.5,27.4,5.1,YES
73.7,61.1,5.5,9.8,72.3,25.3,2.4,YES
46.2,53.8,1.1,4.5,71,26.7,2.3,YES
46.2,53.8,1.1,4.5,71,26.7,2.3,YES
59.5,53.6,2.3,6.8,70.9,25.5,3.6,YES
57.1,51,1.5,5.8,70.3,25.9,3.8,YES
67.3,62,4.8,9.7,73.1,24,2.9,YES
60,55,2.6,5.4,67.3,29.5,3.3,YES
60,55,2.6,5.4,67.3,29.5,3.3,YES
51.8,54.8,0.9,6.1,75.1,21.2,3.7,YES
51.8,54.8,0.9,6.1,75.1,21.2,3.7,YES
56.3,53.1,1.5,5.1,70.3,25.9,3.8,YES
49.8,47.7,0.8,3.6,70.4,25.4,4.2,YES
73.7,67.8,3.3,9,70.1,27.2,2.6,YES
35.1,58.2,0.9,3.9,71.2,23.5,5.3,YES
35.1,58.2,0.9,3.9,71.2,23.5,5.3,YES
50.8,55.5,1,4,67.3,27.4,5.3,YES
47.6,53.8,0.7,3.6,67,27.6,5.3,NO
70,65.1,2.6,6.4,69.1,25.8,5.1,YES
66.1,56.3,4.2,8.4,70,26.6,3.4,YES
50.9,50.1,1.1,5.4,65.8,28.7,5.5,YES
75.2,60,6,10.2,72.5,25.3,2.2,YES
38.7,49.3,0.7,4.6,65.1,28.2,6.7,NO
38.7,49.3,0.7,4.6,65.1,28.2,6.7,NO
22.2,52.7,0.7,4.1,59.6,32,8.4,NO
22.2,52.7,0.7,4.1,59.6,32,8.4,NO
